
t                yRK3            yRK4            f(t)
0.0              2.000000                2.000000                2.0000
0.5              2.051632                2.080616                2.0809
1.0              2.536277                2.626551                2.6269
1.5              3.906789                4.086093                4.0872
2.0              6.344784                6.566018                6.5689
2.5              8.748588                8.867524                8.8718
3.0              9.576568                9.606408                9.6119
3.5              9.639375                9.759067                9.7659
4.0              11.154816               11.531199               11.5399
4.5              16.305226               17.103444               17.1178
5.0              26.714744               27.886259               27.9147
